date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-25 12:06:58,ANI,,23,304,1975,"Delhi: An NGO has extended support to women refugees from Pakistan living in Majnu-ka-Tila, so that they can earn by making rakhis. One of them, Rani says,""We're making rakhis for our brothers who're fighting for us at borders. We want to thank them, our blessings are with them.""pic.twitter.com/FCE1L9ep0F",,,,1286996361464832000,https://twitter.com/ANI/status/1286996361464832000
2020-07-25 07:33:48,ANI,,234,1007,7871,"Jammu and Kashmir: Ishfaq Rashid Khan, one of the top LeT commanders and LeT terrorist Aijaz Ahmad were neutralised by security forces today during Ranbirgarh encounterpic.twitter.com/hDlrptbNy4",,,,1286927618764406784,https://twitter.com/ANI/status/1286927618764406784
2020-07-24 16:40:04,ANI,,9,190,2447,"Reserve Bank of India (RBI) signs document for US dollar 400 million currency swap facility to Sri Lanka till November 2022: High Commission of India in Colombo, Sri Lanka",,,,1286702700961263616,https://twitter.com/ANI/status/1286702700961263616
2020-07-24 16:03:00,ANI,,69,574,3157,"Rajasthan’s Governor Kalraj Mishra writes to CM Ashok Gehlot stating, 'Before I could discuss the matter with experts regarding Assembly session, you have publically said that if Raj Bhawan is 'gheraoed' then it is not your responsibility. (file pic) (1/2)pic.twitter.com/Q2nqFcWDuB",,,,1286693371885412352,https://twitter.com/ANI/status/1286693371885412352
2020-07-24 15:51:45,ANI,,48,296,2108,"Manner in which Ashok Gehlot is working in Rajasthan with politicised bureaucracy, corruption & vendetta was exposed by media today. It was exposed that the wife & family of the then SOG head Anil Paliwal has business connections with the family of Ashok Gehlot: Sambit Patra, BJPpic.twitter.com/X5temFxNMQ",,,,1286690540298227712,https://twitter.com/ANI/status/1286690540298227712
2020-07-24 06:31:03,ANI,,77,261,3270,"Bharatiya Janata Party (BJP) writes to state chiefs and in-charges to organise events on completion of one year of abrogation of Article 370 and passing of Triple Talaq Bill.pic.twitter.com/MuaWtLJrpo",,,,1286549438362574848,https://twitter.com/ANI/status/1286549438362574848
2020-07-24 04:00:44,ANI,,127,543,2363,"Highest single-day spike of 49,310 cases and 740 deaths reported in India in the last 24 hours. Total #COVID19 positive cases stand at 12,87,945 including 4,40,135 active cases, 8,17,209 cured/discharged/migrated & 30,601 deaths: Health Ministrypic.twitter.com/veE2V1JgH9",,,#COVID19,1286511607095336961,https://twitter.com/ANI/status/1286511607095336961
2020-07-23 21:33:30,ANI,,12,290,1578,"If we do not act now, ultimately, the Chinese Communist Party (CCP) will erode our freedoms and subvert the rules-based order that our societies have worked so hard to build: Mike Pompeo, US Secretary of Statepic.twitter.com/PdPEbXE4Eu",,,,1286414157542113280,https://twitter.com/ANI/status/1286414157542113280
2020-07-23 04:04:41,ANI,,155,642,2315,"India's #COVID19 case tally crosses 12 lakh mark with highest single-day spike of 45,720 new cases & 1,129 deaths in the last 24 hrs Total #COVID19 positive cases stand at 12,38,635 incl 4,26,167 active cases, 7,82,606 cured/discharged/migrated & 29,861deaths: Health Ministrypic.twitter.com/PsNwAozRT0",,,#COVID19 #COVID19,1286150216001785859,https://twitter.com/ANI/status/1286150216001785859
2020-07-22 14:55:52,ANI,,5,49,391,"Today NIA arrested accused Sunil Manjhi, resident of Giridih, Jharkhand in a case of seizure of Rs 6 Lakhs & incriminating material from CPI (Maoist) cadre Manoj Kumar in 2018 while he was going to make levy payment to CPI (Maoist) terrorists. Accused sent to 4-day NIA remand.",,,,1285951703049621510,https://twitter.com/ANI/status/1285951703049621510
2020-07-22 09:36:13,ANI,,576,1138,6733,"Delhi: Part of Ashoka Road caved in following heavy rainfall in the national capital region today.pic.twitter.com/WoWgMkSGmA",,,,1285871262271594496,https://twitter.com/ANI/status/1285871262271594496
2020-07-21 18:13:17,ANI,,41,573,4026,"We have watched the Chinese Communist Party (CCP) bully its neighbours, militarize features in the South China Sea, and instigate a deadly confrontation with India: Mike Pompeo, US Secretary of State (file pic)pic.twitter.com/Y5DRdfpzlB",,,,1285638995460919296,https://twitter.com/ANI/status/1285638995460919296
2020-07-20 20:09:46,ANI,,62,825,5794,"Gujarat: Shopkeepers in Ahmedabad claim that demand for Chinese made rakhis has fallen this #RakshaBandhan festival. A shopkeeper says, ""All of us are hurt by China's actions. Customers who come here are willing to pay a little bit more for Indian products instead of Chinese.""pic.twitter.com/9CDKUYpDta",,,#RakshaBandhan,1285305922902822913,https://twitter.com/ANI/status/1285305922902822913
2020-07-20 12:03:20,ANI,,72,288,2038,"I'm saddened but not surprised to be at receiving end of such baseless, vexatious allegations being levelled against me: Sachin Pilot (in file pic) to ANI on Rajasthan Congress MLA Giriraj Singh's allegation that Pilot offered him Rs 35 crores to cross vote in Rajya Sabha pollspic.twitter.com/3pMA1Rqeoe",,,,1285183508122529792,https://twitter.com/ANI/status/1285183508122529792
2020-07-20 09:35:28,ANI,,431,95,887,"Everyone wants that grand Ram Temple is built. But they (the Centre) didn't give place to Shankaracharyas in the Nyas, instead VHP & BJP leaders have been made its members. We object to this: Congress leader Digvijaya Singhpic.twitter.com/2RoLfSOINE",,,,1285146294646800385,https://twitter.com/ANI/status/1285146294646800385
2020-07-20 05:30:10,ANI,,210,937,6808,"#WATCH Karnataka: Asymptomatic #COVID19 positive patients organise a flash mob at a COVID care centre in Bellary where they are admitted. (19.07.2020)pic.twitter.com/30D6E4ESOV",,,#WATCH #COVID19,1285084565879439362,https://twitter.com/ANI/status/1285084565879439362
2020-07-19 15:53:53,ANI,,92,232,2049,"One Indian Army jawan lost his life near the Line of Control in Kargil sector, when he accidentally stepped on an old unexploded explosive device: Indian Army officialspic.twitter.com/aEKzo7RzdK",,,,1284879140273831937,https://twitter.com/ANI/status/1284879140273831937
2020-07-19 08:48:50,ANI,,258,1502,11691,"Kerala: A truck, carrying an aerospace horizontal autoclave for delivery to Vikram Sarabhai Space Centre in Thiruvananthapuram, reached the city today a year after starting from Maharashtra. Staff say, ""Started in July 2019 & travelled across 4 states. Hope to deliver this today""pic.twitter.com/XNaCjXa1C3",,,,1284772172880199680,https://twitter.com/ANI/status/1284772172880199680
2020-07-19 08:25:57,ANI,,34,171,451,"Andhra Pradesh: Huge crowd seen outside a liquor shop in Visakhapatnam, social distancing norms flouted amid #COVID19 pandemic.pic.twitter.com/vmXB3swAUs",,,#COVID19,1284766414050521088,https://twitter.com/ANI/status/1284766414050521088
2020-07-25 08:01:56,ANI,,51,401,2161,"IIT Kharagpur researchers claim to have developed a novel technology for #COVID19 rapid test. Ultra-portable device to cost Rs 400. Customized smartphone application to disseminate test results within 1 hour, without requiring manual interpretation.pic.twitter.com/rkZDvNpXTh",,,#COVID19,1286934695804932096,https://twitter.com/ANI/status/1286934695804932096
2020-07-24 20:28:32,ANI,,7,42,641,"'Tunnel Breaking Ceremony' held yesterday on the completion of caving work for the 1 km long tunnel of Western Dedicated Freight Corridor through Aravalli mountain range, near Sohna in Haryana: Dedicated Freight Corridor Corporation of India Ltd (DFCCIL)pic.twitter.com/ji4poK3OFe",,,,1286760199101980672,https://twitter.com/ANI/status/1286760199101980672
2020-07-24 18:30:30,ANI,,12,105,704,"Samu Oreya, Birsa Oreya and Babita Kacchap involved in Pathalghadi movement in Jharkhand, detained in Gujarat. They were trying to incite people in Vyara and Mahisagar against the government: Gujarat Anti Terrorist Squad (ATS)",,,,1286730493136789510,https://twitter.com/ANI/status/1286730493136789510
2020-07-24 12:36:43,ANI,,58,533,3595,"#WATCH: Two elephants spotted using twigs to comfort themselves at Bannerghatta Biological Park near Bengaluru in Karnataka.pic.twitter.com/JsPbcoNABp",,,#WATCH,1286641462101151745,https://twitter.com/ANI/status/1286641462101151745
2020-07-24 11:19:13,ANI,,36,477,4799,"Shantabai Pawar says, ""By God's grace, I am able to perform at this age and sustain my livelihood. My grandchildren are pursuing their studies and we are happy."" 85-year-old Shantabai Pawar performs 'Lathi Kathi' on streets of Pune to earn a livelihood.pic.twitter.com/BWx9tOaF04",,,,1286621955605450752,https://twitter.com/ANI/status/1286621955605450752
